Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Georgia,Passenger Cars,,Average Price,Sports Cars,thousand USD (US$),Statista Market Insights,,83.3,83.97,85.05,87.18,87.95,81.57,80.98,88.1,87.96,88.83,88.34,87.41,88.49,88.34,88.62
Georgia,Passenger Cars,,Average Price,SUVs,thousand USD (US$),Statista Market Insights,,35.3,35.83,33.49,32.62,32.17,32.29,31.97,34.42,34.26,34.72,34.85,34.43,34.73,34.72,34.73
Georgia,Passenger Cars,,Revenue,Total,million USD (US$),Statista Market Insights,,115.8,114.3,111.5,106.5,103.5,44.04,61.95,54.49,75.25,107,112.3,121.2,118.7,116.4,113
Georgia,Passenger Cars,,Revenue,Executive Cars,million USD (US$),Statista Market Insights,,2.99,2.95,2.83,2.79,2.69,1.1,1.54,1.35,1.89,2.69,2.81,3.04,2.97,2.94,2.87
Georgia,Passenger Cars,,Revenue,Full-Size Vans,million USD (US$),Statista Market Insights,,0.76,0.74,0.71,0.71,0.68,0.29,0.41,0.35,0.47,0.69,0.73,0.79,0.76,0.73,0.73
Georgia,Passenger Cars,,Revenue,Large Cars,million USD (US$),Statista Market Insights,,14.15,13.16,12.36,12.06,11.63,5.08,7.21,6.22,8.5,12.25,12.93,13.75,13.53,13.31,12.88
Georgia,Passenger Cars,,Revenue,Luxury Cars,million USD (US$),Statista Market Insights,,3.81,3.68,3.57,3.58,3.54,1.41,1.99,1.68,2.28,3.34,3.49,3.85,3.71,3.66,3.52
Georgia,Passenger Cars,,Revenue,Medium Cars,million USD (US$),Statista Market Insights,,18.37,16.95,14.77,13.98,13.51,6.05,8.31,7.12,10.39,14.95,15.62,16.84,16.37,15.79,15.36
Georgia,Passenger Cars,,Revenue,Mini Cars,million USD (US$),Statista Market Insights,,1.75,1.69,1.68,1.61,1.56,0.64,0.91,0.8,1.09,1.54,1.62,1.72,1.7,1.65,1.65
Georgia,Passenger Cars,,Revenue,Minivans,million USD (US$),Statista Market Insights,,12.14,12.15,12.09,10.28,10.83,4.2,6.53,5.97,8.16,11.68,12.08,13.14,12.62,12.21,11.59
