Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Armenia,Passenger Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,97.48,97.51,96.2,95.2,91.57,91.82,88.12,87.57,89.57,88.04,86.17,83.35,79.35,,67.75
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,45.64,43.65,34.88,33.18,31.55,24.79,7.53,8.71,7.35,6.44,6.02,5.77,5.39,,4.58
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,44.21,46.38,47.11,47.63,46.96,50.52,77.76,76.61,74.36,74.1,72.5,70.68,69.15,,66.07
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,10.15,9.97,18.01,19.19,21.49,24.69,14.71,14.68,18.04,19.1,20.96,22.79,24.35,,27.06
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.25,0.36,0.52,0.76,1.1,,2.28
Armenia,Passenger Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,152.1,150.3,150.2,151.1,149.1,149.3,138.3,133.2,125.7,114.8,106.7,98.41,90.79,,77.78
Armenia,Passenger Cars,,Vehicle Sales,Total,vehicles,Statista Market Insights,,"3,189","2,845","2,540","2,089","1,752","1,092","1,797","1,193","1,749","2,575","2,827","3,139","2,951","2,744","2,534"
Armenia,Passenger Cars,,Vehicle Sales,Large Cars,vehicles,Statista Market Insights,,216,197,175,150,129,74,123,81,118,173,187,208,197,183,170
Armenia,Passenger Cars,,Vehicle Sales,Luxury Cars,vehicles,Statista Market Insights,,161,96,84,69,57,48,74,49,66,96,109,118,110,101,93
Armenia,Passenger Cars,,Vehicle Sales,Medium Cars,vehicles,Statista Market Insights,,388,340,319,253,210,137,226,152,223,323,356,396,372,343,315
Armenia,Passenger Cars,,Vehicle Sales,Mini Cars,vehicles,Statista Market Insights,,152,138,158,131,113,62,102,71,104,146,157,179,169,158,148
Armenia,Passenger Cars,,Vehicle Sales,Minivans,vehicles,Statista Market Insights,,534,474,412,363,327,180,301,197,288,445,477,528,497,463,429
Armenia,Passenger Cars,,Vehicle Sales,Pickup Trucks,vehicles,Statista Market Insights,,36,32,28,23,19,12,20,13,19,28,30,34,32,30,27
Armenia,Passenger Cars,,Vehicle Sales,Small Cars,vehicles,Statista Market Insights,,468,396,366,286,221,157,256,172,258,372,420,461,433,406,374
Armenia,Passenger Cars,,Vehicle Sales,Sports Cars,vehicles,Statista Market Insights,,36,32,28,23,19,12,20,13,19,28,30,34,32,30,27
Armenia,Passenger Cars,,Vehicle Sales,SUVs,vehicles,Statista Market Insights,,"1,198","1,140",970,791,657,410,675,445,654,964,"1,061","1,181","1,109","1,030",951
Armenia,Passenger Cars,,Vehicle Sales by make,Bentley,percent,Statista Market Insights,,,,,,,,,,,6.17,,,,,
Armenia,Passenger Cars,,Vehicle Sales by make,Dacia,percent,Statista Market Insights,,,,,,,,,,,14.91,,,,,
Armenia,Passenger Cars,,Vehicle Sales by make,Honda,percent,Statista Market Insights,,,,,,,,,,,25.13,,,,,
Armenia,Passenger Cars,,Vehicle Sales by make,Hyundai,percent,Statista Market Insights,,,,,,,,,,,29.28,,,,,
Armenia,Passenger Cars,,Vehicle Sales by make,Land Rover,percent,Statista Market Insights,,,,,,,,,,,10.56,,,,,
