Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Azerbaijan,Passenger Cars,,Average Price,Pickup Trucks,thousand USD (US$),Statista Market Insights,,34.1,33.9,32.98,31.7,30.21,30.52,33.81,32.86,31.84,32.5,32.52,32.73,32.42,32.61,32.83
Azerbaijan,Passenger Cars,,Average Price,Small Cars,thousand USD (US$),Statista Market Insights,,13.05,13.51,14.13,14.6,15.04,12.7,13.99,13.76,13.4,13.63,13.46,13.59,13.56,13.75,13.95
Azerbaijan,Passenger Cars,,Average Price,Sports Cars,thousand USD (US$),Statista Market Insights,,61.58,60.23,58.53,56.92,55.6,55.31,61.27,59.59,58.29,59.4,59.38,59.76,59.62,60.1,60.29
Azerbaijan,Passenger Cars,,Average Price,SUVs,thousand USD (US$),Statista Market Insights,,36.46,36.9,36.26,36.95,37.86,33.59,37.36,36.26,35.52,36.52,36.02,36.28,35.93,36.1,36.34
Azerbaijan,Passenger Cars,,Revenue,Total,million USD (US$),Statista Market Insights,,330.4,311.5,289.6,268.8,256.9,111.8,190.2,130.3,181.4,272.5,287.9,318.2,299,284.1,269.5
Azerbaijan,Passenger Cars,,Revenue,Executive Cars,million USD (US$),Statista Market Insights,,10.74,10.15,9.52,8.72,8.42,3.75,6.38,4.4,6.04,9.03,9.63,10.67,10.1,9.57,9.11
Azerbaijan,Passenger Cars,,Revenue,Full-Size Vans,million USD (US$),Statista Market Insights,,3.42,3.4,3.27,3.11,2.95,1.18,2.04,1.41,1.93,2.87,3.04,3.4,3.23,3.1,2.96
Azerbaijan,Passenger Cars,,Revenue,Large Cars,million USD (US$),Statista Market Insights,,27.34,26.1,24.02,22.45,21.34,9.54,16.3,11.05,15.26,22.92,24.4,27.09,25.61,24.39,23.29
Azerbaijan,Passenger Cars,,Revenue,Medium Cars,million USD (US$),Statista Market Insights,,47.53,41.47,31.84,27.49,24.79,12.56,21.43,14.02,19.75,29.97,31.81,36.04,33.29,31.11,29.08
Azerbaijan,Passenger Cars,,Revenue,Mini Cars,million USD (US$),Statista Market Insights,,19.35,18.18,16.97,15.87,16.32,6.55,11.2,7.65,10.42,16.76,17.77,19.5,18.64,18.03,17.42
Azerbaijan,Passenger Cars,,Revenue,Minivans,million USD (US$),Statista Market Insights,,16.79,15.98,14.74,13.72,12.79,5.62,9.61,6.57,9.07,13.57,14.48,16.13,15.26,14.61,13.94
Azerbaijan,Passenger Cars,,Revenue,Pickup Trucks,million USD (US$),Statista Market Insights,,8.53,8.24,7.36,6.69,6.01,2.87,4.9,3.32,4.55,6.86,7.28,8.15,7.68,7.31,6.89
Azerbaijan,Passenger Cars,,Revenue,Small Cars,million USD (US$),Statista Market Insights,,26.34,23.81,20.79,19.06,17.48,8.41,14.12,9.68,13.26,19.9,21.58,23.5,22.3,21.45,20.58
Azerbaijan,Passenger Cars,,Revenue,Sports Cars,million USD (US$),Statista Market Insights,,10.84,9.46,7.96,6.6,6.17,3.21,5.58,3.81,5.25,7.9,8.43,9.44,8.88,8.47,7.96
Azerbaijan,Passenger Cars,,Revenue,SUVs,million USD (US$),Statista Market Insights,,159.6,154.7,153.1,145.1,140.6,58.08,98.62,68.39,95.86,142.7,149.5,164.3,154,146.1,138.3
Azerbaijan,Passenger Cars,,Revenue by make,Dacia,percent,Statista Market Insights,,,,,,,,,,,5.97,,,,,
Azerbaijan,Passenger Cars,,Revenue by make,Infiniti,percent,Statista Market Insights,,,,,,,,,,,16.22,,,,,
Azerbaijan,Passenger Cars,,Revenue by make,Jeep,percent,Statista Market Insights,,,,,,,,,,,20.88,,,,,
Azerbaijan,Passenger Cars,,Revenue by make,Nissan,percent,Statista Market Insights,,,,,,,,,,,34,,,,,
Azerbaijan,Passenger Cars,,Revenue by make,Renault,percent,Statista Market Insights,,,,,,,,,,,12.47,,,,,
Azerbaijan,Passenger Cars,,Revenue by make,smart,percent,Statista Market Insights,,,,,,,,,,,3.8,,,,,
